 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Unidade da Federação e Ano processamento
Período:2014-2019
"Unidade da Federação";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"11 Rondônia";79095836,74;86163443,56;91955338,88;95261076,71;102091843,39;109113101,49;563680640,77
"12 Acre";36039320,36;37262018,93;40487149,58;37245525,42;34432565,81;34709598,96;220176179,06
"13 Amazonas";121900696,54;151278739,06;147812237,69;160820207,41;175744827,43;189174065,14;946730773,27
"14 Roraima";19757952,27;24556486,66;29133807,87;31338348,90;33851454,13;34320141,86;172958191,69
"15 Pará";342851637,96;353977050,33;357148898,98;388952636,23;410173716,47;410762468,56;2263866408,53
"16 Amapá";23354262,75;22053145,67;21916972,06;22366616,97;25843955,47;29370406,98;144905359,90
"17 Tocantins";88436272,97;78227511,70;78034121,80;72772161,78;62982094,00;82314133,11;462766295,36
"21 Maranhão";301805294,56;311541016,04;307485045,93;333689604,72;351572006,86;365966588,66;1972059556,77
"22 Piauí";164802466,18;174857185,86;188677491,61;186604619,98;195934078,96;206820114,53;1117695957,12
"23 Ceará";510177372,22;527062987,37;540114355,29;551317375,87;573956797,72;607933847,81;3310562736,28
"24 Rio Grande do Norte";193227602,99;210853738,06;212854443,28;218447439,60;240919860,46;266648012,86;1342951097,25
"25 Paraíba";194470103,49;189634905,54;192764395,74;208882120,74;218267536,76;232190711,77;1236209774,04
"26 Pernambuco";703527971,01;717003467,19;733193554,40;792199747,81;800658730,01;819736051,98;4566319522,40
"27 Alagoas";163585154,41;177761701,65;177582559,02;191840311,19;201009115,58;204786237,86;1116565079,71
"28 Sergipe";83949080,41;96666330,17;102263264,46;99807105,65;107312506,79;117487663,63;607485951,11
"29 Bahia";757704806,91;785597108,46;810137241,08;821240562,79;845519121,44;879675393,50;4899874234,18
"31 Minas Gerais";1658840666,80;1674939603,04;1657939988,05;1718544163,79;1790290126,08;1889157110,44;10389711658,20
"32 Espírito Santo";253097937,91;267235078,66;296978830,46;309155832,58;303425629,23;319715540,97;1749608849,81
"33 Rio de Janeiro";765976172,49;814738275,82;790282302,29;853543221,39;918095799,51;976876703,73;5119512475,23
"35 São Paulo";3268008800,52;3285221792,79;3305056173,67;3361179945,39;3442007311,77;3567637040,10;20229111064,24
"41 Paraná";1063177083,80;1116764284,11;1224621412,80;1333212214,45;1453914663,28;1493484390,79;7685174049,23
"42 Santa Catarina";626008038,37;649716373,14;663853492,72;676676323,29;711391945,08;759243377,08;4086889549,68
"43 Rio Grande do Sul";1025980732,27;1076735540,93;1046635638,70;1053347905,55;1074036199,48;1131618227,23;6408354244,16
"50 Mato Grosso do Sul";174087791,31;186415626,22;190977047,16;194544177,74;201939866,02;218562922,14;1166527430,59
"51 Mato Grosso";164696707,99;173915288,36;181948081,80;185882129,14;190680812,60;189645101,04;1086768120,93
"52 Goiás";400943736,86;420280242,13;410610981,83;414555691,08;407220316,61;438379767,50;2491990736,01
"53 Distrito Federal";184904125,57;177523900,39;200638650,79;205151092,15;233115326,12;239866880,34;1241199975,36
"Total";13370407625,66;13787982841,84;14001103477,94;14518578158,32;15106388207,06;15815195600,06;86599655910,88
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
