 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Unidade da Federação e Ano
Período:2014-2019
"Unidade da Federação";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"11 Rondônia";98,18;111,27;63,77;80,74;82,45;51,44;79,77
"12 Acre";59,29;75,54;46,91;62,18;67,44;45,44;58,65
"13 Amazonas";77,14;94,95;48,27;65,33;69,82;49,97;65,82
"14 Roraima";82,30;105,27;57,41;74,26;78,76;48,04;72,42
"15 Pará";71,71;67,51;41,43;57,60;57,44;37,53;54,62
"16 Amapá";76,11;88,75;56,62;58,66;63,32;44,02;63,79
"17 Tocantins";85,09;92,37;60,94;81,70;82,32;57,59;75,73
"21 Maranhão";83,27;94,40;43,38;60,87;64,51;40,05;62,82
"22 Piauí";76,06;80,68;46,94;67,25;70,80;44,88;63,17
"23 Ceará";96,57;107,71;56,44;73,67;77,37;47,53;74,29
"24 Rio Grande do Norte";82,44;89,17;42,23;53,69;67,54;38,10;60,56
"25 Paraíba";83,53;86,34;50,10;66,15;69,43;43,87;65,46
"26 Pernambuco";86,44;101,09;51,43;65,20;70,43;44,91;68,30
"27 Alagoas";84,08;92,74;44,88;65,01;70,79;44,26;64,99
"28 Sergipe";86,11;91,00;47,05;63,49;68,76;46,21;65,74
"29 Bahia";83,78;93,06;44,35;63,11;63,50;38,68;62,95
"31 Minas Gerais";90,21;100,33;57,58;80,42;85,42;53,43;76,34
"32 Espírito Santo";90,98;98,39;51,19;66,35;74,22;48,72;69,55
"33 Rio de Janeiro";84,08;96,14;47,98;67,04;61,37;25,99;61,88
"35 São Paulo";88,20;98,63;45,94;67,29;71,52;46,18;67,38
"41 Paraná";86,95;96,41;55,32;77,66;81,79;58,11;74,55
"42 Santa Catarina";91,81;100,69;58,88;75,82;82,43;60,59;76,84
"43 Rio Grande do Sul";84,15;87,69;53,86;72,54;74,94;51,65;69,58
"50 Mato Grosso do Sul";110,11;113,07;63,55;78,81;83,52;52,21;81,82
"51 Mato Grosso";92,61;100,32;58,32;74,28;76,70;46,38;72,97
"52 Goiás";86,63;93,55;53,60;73,25;71,85;47,04;69,49
"53 Distrito Federal";89,33;71,55;75,28;73,82;73,85;49,58;72,22
"Total";86,31;95,07;50,44;69,04;71,99;45,65;68,07
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

