 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Unidade da Federação e Ano
Imuno: 021 Tríplice Viral  D1
Período:2014-2019
"Unidade da Federação";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"11 Rondônia";146,88;109,00;109,79;105,52;102,03;56,62;104,73
"12 Acre";99,20;84,21;75,71;79,76;82,94;52,58;79,12
"13 Amazonas";114,36;95,42;83,56;84,59;90,09;58,89;87,74
"14 Roraima";110,16;108,45;90,77;89,13;105,04;48,20;91,33
"15 Pará";115,73;71,92;69,61;70,90;76,15;44,86;74,77
"16 Amapá";113,19;89,02;97,36;77,87;77,01;51,07;84,16
"17 Tocantins";105,54;94,70;91,89;89,24;90,39;58,69;88,30
"21 Maranhão";123,86;90,47;80,01;81,41;82,64;50,05;84,89
"22 Piauí";93,10;81,22;81,48;82,55;86,86;54,04;79,79
"23 Ceará";140,69;110,83;119,76;105,23;110,24;64,79;108,55
"24 Rio Grande do Norte";110,26;94,98;96,05;81,78;88,06;50,99;87,12
"25 Paraíba";120,35;93,67;96,59;96,74;95,77;58,80;93,59
"26 Pernambuco";108,46;97,81;112,65;101,28;104,46;63,82;98,27
"27 Alagoas";113,15;98,67;102,24;104,01;106,07;67,73;98,73
"28 Sergipe";94,64;91,99;92,09;89,26;95,30;62,09;87,53
"29 Bahia";114,85;90,18;85,70;83,27;80,39;48,83;84,03
"31 Minas Gerais";109,22;100,11;98,93;93,59;96,77;65,82;94,05
"32 Espírito Santo";109,44;99,04;104,31;87,38;95,37;62,14;92,76
"33 Rio de Janeiro";112,48;105,42;109,26;98,90;99,31;39,13;94,22
"35 São Paulo";105,02;97,91;92,96;91,26;90,38;60,19;89,65
"41 Paraná";113,35;99,44;91,87;91,84;89,37;63,19;91,42
"42 Santa Catarina";112,20;103,42;98,97;93,90;91,48;62,31;93,20
"43 Rio Grande do Sul";107,74;87,81;90,45;87,66;88,55;58,89;86,79
"50 Mato Grosso do Sul";143,76;112,53;100,98;94,93;104,12;61,72;102,54
"51 Mato Grosso";120,66;98,71;96,68;91,12;90,81;54,49;91,47
"52 Goiás";122,14;94,83;85,93;88,94;87,28;57,14;89,10
"53 Distrito Federal";104,91;67,58;131,75;89,21;86,99;58,73;89,83
"Total";112,80;96,07;95,41;90,85;91,89;57,19;90,68
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

