 Imunizações - Cobertura - Brasil
Doses Cáculos CV por Unidade da Federação e Ano
Período:2014-2019
"Unidade da Federação";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"11 Rondônia";664623;692060;619782;580329;554429;344707;3455930
"12 Acre";254867;294119;259444;265563;266548;183891;1524432
"13 Amazonas";1546920;1721877;1404249;1412102;1435823;996366;8517337
"14 Roraima";223255;261569;223781;223177;237162;146819;1315763
"15 Pará";2577588;2121121;1986047;2067185;1994916;1299432;12046289
"16 Amapá";291264;317476;309878;240586;241570;165800;1566574
"17 Tocantins";520696;500465;473930;496697;469306;337453;2798547
"21 Maranhão";2506954;2470155;1768910;1804725;1808791;1123803;11483338
"22 Piauí";929808;843986;766717;794144;813143;520133;4667931
"23 Ceará";3097412;3090798;2772563;2527779;2596746;1559778;15645076
"24 Rio Grande do Norte";976055;955413;715152;651844;773048;427102;4498614
"25 Paraíba";1185760;1091866;933768;946139;974210;608801;5740544
"26 Pernambuco";3098012;3270650;2643965;2454143;2410864;1536040;15413674
"27 Alagoas";1124168;1114133;871125;905807;926598;584861;5526692
"28 Sergipe";733179;714208;550085;562373;574293;375131;3509269
"29 Bahia";4552090;4326712;3231420;3317966;3165767;1933369;20527324
"31 Minas Gerais";5908170;5849587;5192087;5320343;5380265;3396051;31046503
"32 Espírito Santo";1221179;1220295;1018857;980208;1042704;697564;6180807
"33 Rio de Janeiro";4792974;4947569;4269415;4170602;3678944;1506798;23366302
"35 São Paulo";13755784;13859265;10615615;11187566;11407247;7249108;68074585
"41 Paraná";3393790;3425656;2978313;3121299;3143311;2226662;18289031
"42 Santa Catarina";2047870;2066422;1789983;1742437;1933449;1436410;11016571
"43 Rio Grande do Sul";2980144;2808159;2601252;2633986;2675382;1829584;15528507
"50 Mato Grosso do Sul";1186794;1097563;937525;888047;900946;569408;5580283
"51 Mato Grosso";1204418;1218562;1117107;1074008;1053524;657632;6325251
"52 Goiás";2068419;2012864;1808414;1852394;1764350;1139751;10646192
"53 Distrito Federal";1000131;732494;1331740;910783;887622;609503;5472273
"Total";63842324;63025044;53191124;53132232;53110958;33461957;319763639
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

