 Imunizações - Cobertura - Brasil
Doses Cáculos CV por Unidade da Federação e Ano
Imuno: 021 Tríplice Viral  D1
Período:2014-2019
"Unidade da Federação";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"11 Rondônia";38939;29477;30247;29073;27117;15573;170426
"12 Acre";16548;14329;12925;13616;13051;8601;79070
"13 Amazonas";88491;75246;67461;68295;68790;45962;414245
"14 Roraima";11676;11717;10077;9895;11662;5657;60684
"15 Pará";159472;99975;99743;101592;104718;62214;627714
"16 Amapá";16849;13962;15796;12635;11946;7864;79052
"17 Tocantins";25742;22826;22917;22257;21574;14632;129948
"21 Maranhão";143661;103727;93487;95112;91222;56545;583754
"22 Piauí";44647;37693;39034;39548;40823;26239;227984
"23 Ceará";178484;138462;153990;135316;138993;82805;828050
"24 Rio Grande do Norte";51807;44370;46197;39331;39937;23568;245210
"25 Paraíba";68318;53237;55559;55642;53711;33808;320275
"26 Pernambuco";153334;138301;161595;145287;136547;86729;821793
"27 Alagoas";59405;51794;52929;53843;51090;34112;303173
"28 Sergipe";32280;31485;31649;30675;30705;21027;177821
"29 Bahia";241164;183161;174730;169776;159961;99656;1028448
"31 Minas Gerais";283759;258863;263798;249552;245300;171749;1473021
"32 Espírito Santo";57811;53572;58927;49360;50938;34703;305311
"33 Rio de Janeiro";250650;235935;255170;230954;217554;87344;1277607
"35 São Paulo";647565;598150;581581;570938;542486;368221;3308941
"41 Paraná";174494;154866;146898;146843;138564;99653;861318
"42 Santa Catarina";99601;92872;91716;87017;87185;61273;519664
"43 Rio Grande do Sul";149696;124096;129637;125631;125193;83367;737620
"50 Mato Grosso do Sul";60731;47590;44473;41807;44167;27618;266386
"51 Mato Grosso";61842;52293;54609;51465;48592;31208;300009
"52 Goiás";113883;89826;85691;88698;83381;55721;517200
"53 Distrito Federal";45634;30078;58830;39838;37690;26177;238247
"Total";3276483;2787903;2839666;2703996;2622897;1672026;15902971
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

