 Imunizações - Cobertura - Brasil
Doses Cáculos CV por Unidade da Federação e Ano
Imuno: 098 Tríplice Viral  D2
Período:2014-2019
"Unidade da Federação";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"11 Rondônia";29885;25585;25985;23143;21106;13573;139277
"12 Acre";10278;8795;10959;10336;11337;7249;58954
"13 Amazonas";65396;61643;61038;52806;59542;40061;340486
"14 Roraima";9504;9985;9270;9910;10070;6359;55098
"15 Pará";90049;63636;89323;82198;80684;53298;459188
"16 Amapá";12633;11708;13945;10522;9901;6676;65385
"17 Tocantins";21814;14782;22016;19600;18645;13457;110314
"21 Maranhão";103525;85256;55589;63521;61942;42545;412378
"22 Piauí";35252;29197;29181;28877;31978;21262;175747
"23 Ceará";162815;117413;114062;106589;108991;68239;678109
"24 Rio Grande do Norte";42808;37322;24260;26128;28982;17271;176771
"25 Paraíba";49363;36633;32589;41331;40036;25679;225631
"26 Pernambuco";131231;123533;97868;102155;90834;66038;611659
"27 Alagoas";47587;42876;31321;36864;34363;22854;215865
"28 Sergipe";27900;27705;24353;25494;23168;16200;144820
"29 Bahia";192179;159507;114664;128281;125828;78514;798973
"31 Minas Gerais";227900;185820;235662;228478;214182;148458;1240500
"32 Espírito Santo";51574;47317;44260;40901;42421;29498;255971
"33 Rio de Janeiro";214926;200114;168551;165907;153222;65538;968258
"35 São Paulo";591245;564656;486323;545158;488599;316256;2992237
"41 Paraná";143301;122902;145968;141027;134591;94542;782331
"42 Santa Catarina";82893;75178;91173;77150;79272;57034;462700
"43 Rio Grande do Sul";125214;98021;123920;114280;117766;77172;656373
"50 Mato Grosso do Sul";48617;33847;41532;34440;41273;22899;222608
"51 Mato Grosso";51618;42674;48057;43459;43053;28082;256943
"52 Goiás";86006;64541;83961;78529;73008;48942;434987
"53 Distrito Federal";42318;29123;57339;38494;38427;26430;232131
"Total";2697831;2319769;2283169;2275578;2183221;1414126;13173694
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

